00:1A:9C	RightHand Technologies, Inc.	2006-12-05	2015-09-27
EC:DA:59	New H3C Technologies Co., Ltd	2021-10-28	2021-10-28
00:03:8C	Total Impact	2000-11-09	2015-09-27
00:0D:C4	Emcore Corporation	2004-02-12	2015-09-27
DC:53:60	Intel Corporate	2015-04-23	2015-09-27
5C:88:16	Rockwell Automation	2018-11-19	2018-11-19
08:C8:C2	GN Audio A/S	2021-09-28	2021-09-28
24:4F:1D	iRule LLC	2014-05-27	2015-09-27
00:05:CD	D&M Holdings Inc.	2001-06-04	2016-09-08
40:22:ED	Digital Projection Ltd	2010-11-24	2015-09-27
F8:BF:09	HUAWEI TECHNOLOGIES CO.,LTD	2015-04-11	2015-10-12
00:25:65		2009-03-14	2015-09-27
00:40:4C	HYPERTEC PTY LTD.	1980-01-01	2015-09-27
00:0A:0A	SUNIX Co., Ltd.	2002-06-05	2015-09-27
C8:FF:77	Dyson Limited	2014-03-14	2015-09-27
6C:44:18	Zappware	2015-01-23	2015-09-27
5C:A8:6A	HUAWEI TECHNOLOGIES CO.,LTD	2016-04-11	2016-04-11
00:04:81		2000-12-04	2015-09-27
00:16:97		2005-11-24	2019-07-01
D4:1A:C8	Nippon Printer Engineering	2020-02-06	2020-02-06
04:B9:E3	Samsung Electronics Co.,Ltd	2021-03-12	2021-03-12
00:00:86		2000-11-09	2015-09-27
00:80:0B	CSK CORPORATION	2000-11-09	2015-09-27
00:9C:02	Hewlett Packard	2011-11-26	2015-10-12
78:E2:BD	Vodafone Automotive S.p.A.	2019-01-18	2019-01-18
00:0E:1E	QLogic Corporation	2004-02-12	2015-09-27
00:90:3D	BIOPAC SYSTEMS, INC.	2000-11-09	2015-09-27
00:01:10	Gotham Networks	2000-11-09	2015-09-27
00:16:E5	FORDLEY DEVELOPMENT LIMITED	2005-12-23	2015-09-27
00:30:AE	Times N System, Inc.	2000-11-09	2015-09-27
01:31:30	I-BUS	
98:DD:5B	TAKUMI JAPAN LTD	2019-12-06	2019-12-06
00:40:03	Emerson Process Management Power & Water Solutions, Inc.	2000-11-09	2015-09-27
00:1F:AA	Taseon, Inc.	2008-01-20	2015-09-27
00:12:86		2004-10-10	2015-09-27
D4:D7:CF	Realme Chongqing Mobile Telecommunications Corp.,Ltd.	2021-08-21	2021-08-21
1C:27:DD	Datang Gohighsec(zhejiang)Information Technology Co.,Ltd.	2017-09-06	2017-09-06
1C:4D:70	Intel Corporate	2017-03-26	2017-03-26
94:2B:F3		2011-10-07	2011-10-07
80:18:A7	Samsung Electronics Co.,Ltd	2012-03-01	2016-05-31
00:1F:C7	Casio Hitachi Mobile Communications Co., Ltd.	2008-02-02	2015-11-15
D4:AC:4E	BODi rS, LLC	2013-03-10	2015-09-27
AC:15:F4	Apple, Inc.	2019-11-08	2019-11-08
00:16:DB	Samsung Electronics Co.,Ltd	2005-12-23	2015-09-27
B0:93:5B	ARRIS Group, Inc.	2017-07-01	2017-07-01
00:03:2A	UniData Communication Systems, Inc.	2000-11-09	2015-09-27
9C:53:CD	ENGICAM s.r.l.	2011-09-24	2015-09-27
00:25:B8	Agile Communications, Inc.	2010-01-05	2015-09-27
A8:44:81	Nokia Corporation	2013-01-09	2015-09-27
00:10:A6	Cisco Systems, Inc	1997-11-14	2015-09-27
00:40:41	FUJIKURA LTD.	1980-01-01	2015-09-27
88:33:14	Texas Instruments	2013-03-10	2015-10-07
74:D2:85	Texas Instruments	2021-01-13	2021-01-13
B4:79:A7	SAMSUNG ELECTRO-MECHANICS(THAILAND)	2014-07-13	2016-05-31
74:C6:3B	AzureWave Technology Inc.	2015-10-25	2015-10-25
F4:D0:32	Yunnan Ideal Information&Technology.,Ltd	2014-05-27	2015-09-27
1C:74:0D	Zyxel Communications Corporation	2016-01-25	2016-01-25
00:0F:DC	Ueda Japan  Radio Co., Ltd.	2004-04-03	2015-09-27
A4:17:91	Shenzhen Decnta Technology Co.,LTD.	2018-10-22	2018-10-22
00:26:93		2010-01-05	2015-09-27
70:A6:CC	Intel Corporate	2021-03-11	2021-03-11
B4:E6:2A	LG Innotek	2017-03-26	2017-03-26
00:25:CE	InnerSpace	2010-01-05	2015-09-27
18:A2:8A	Essel-T Co., Ltd	2017-11-02	2017-11-02
9C:D5:7D	Cisco Systems, Inc	2021-05-21	2021-05-21
28:FF:3E	zte corporation	2017-02-21	2017-02-21
38:0A:94	Samsung Electronics Co.,Ltd	2012-01-19	2015-09-27
00:01:72		2000-11-09	2015-09-27
70:0F:6A	Cisco Systems, Inc	2018-03-05	2018-03-05
00:22:CB	IONODES Inc.	2008-10-25	2015-09-27
00:A0:44	NTT IT CO., LTD.	2000-11-09	2015-09-27
F8:75:A4	LCFC(HeFei) Electronics Technology co., ltd	2019-08-08	2019-08-08
14:9B:D7	MULI MUWAI FURNITURE QIDONG CO., LTD	2021-11-11	2021-12-09
00:50:69		2000-11-09	2015-09-27
00:19:69		2006-08-27	2016-04-27
54:F6:E2	HUAWEI TECHNOLOGIES CO.,LTD	2021-02-11	2021-02-11
1C:6B:CA	Mitsunami Co., Ltd.	2012-04-08	2015-09-27
E0:10:7F	Ruckus Wireless	2014-08-20	2017-05-23
78:31:2B	zte corporation	2014-08-28	2015-09-27
00:0F:54	Entrelogic Corporation	2004-02-12	2015-09-27
00:21:3A	Winchester Systems Inc.	2008-10-25	2015-09-27
A0:F8:49	Cisco Systems, Inc	2015-02-07	2015-09-27
60:22:32	Ubiquiti Networks Inc.	2021-08-19	2021-08-19
00:16:24	Schenck Process GmbH	2005-10-13	2015-09-27
00:50:A6	OPTRONICS	2000-11-09	2015-09-27
00:0B:3D	CONTAL OK Ltd.	2002-10-14	2015-09-27
04:88:8C	Eifelwerk Butler Systeme GmbH	2011-07-09	2015-09-27
00:02:36	Cisco Systems, Inc	2000-11-09	2015-09-27
5C:8F:40	TECNO MOBILE LIMITED	2021-05-14	2021-05-14
D4:F5:27	SIEMENS AG	2018-12-19	2018-12-19
00:40:FC	IBR COMPUTER TECHNIK GMBH	2000-11-09	2015-09-27
00:13:EB	Sysmaster Corporation	2005-03-10	2015-09-27
9C:55:B4	I.S.E. S.r.l.	2010-01-05	2015-09-27
00:80:16		1980-01-01	2015-09-27
00:10:D0	WITCOM, LTD.	1998-04-22	2015-09-27
00:0A:37	Procera Networks, Inc.	2002-06-05	2015-09-27
A4:8D:3B	Vizio, Inc	2015-04-18	2015-09-27
2C:5D:34	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD	2018-09-27	2018-09-27
00:1F:68	Martinsson Elektronik AB	2007-12-31	2015-09-27
44:C9:A2	Greenwald Industries	2010-01-05	2015-09-27
00:0B:F0	MoTEX Products Co., Ltd.	2003-02-07	2015-09-27
5C:57:1A	ARRIS Group, Inc.	2012-07-16	2016-05-19
00:30:4F	PLANET Technology Corporation	2000-11-09	2015-09-27
00:06:2A	Cisco Systems, Inc	2001-06-04	2015-09-27
F4:E1:1E	Texas Instruments	2017-12-11	2017-12-11
00:50:D3	DIGITAL AUDIO PROCESSING PTY. LTD.	2000-11-09	2015-09-27
00:12:3E	ERUNE technology Co., Ltd.	2004-09-02	2015-09-27
00:1F:D8	A-TRUST COMPUTER CORPORATION	2008-02-02	2015-09-27
68:14:01	Hon Hai Precision Ind. Co.,Ltd.	2015-08-11	2015-10-12
00:15:2C	Cisco Systems, Inc	2005-07-21	2015-09-27
00:15:01	LexBox	2005-06-25	2015-09-27
68:9E:19	Texas Instruments	2015-02-07	2015-09-27
44:EA:4B	Actlas Inc.	2017-05-23	2017-05-23
00:26:E7	Shanghai ONLAN Communication Tech. Co., Ltd.	2010-01-05	2015-09-27
00:21:4C	Samsung Electronics Co.,Ltd	2008-10-25	2015-09-27
68:17:29	Intel Corporate	2012-07-28	2015-09-27
00:0F:97	Avanex Corporation	2004-04-03	2015-09-27
34:81:F4	SST Taiwan Ltd.	2015-04-07	2015-09-27
98:ED:5C	Tesla,Inc.	2018-07-26	2020-01-25
94:B8:6D	Intel Corporate	2017-12-10	2017-12-10
00:17:69		2006-04-08	2015-09-27
4C:77:CB	Intel Corporate	2021-04-20	2021-04-20
00:01:D8	Teltronics, Inc.	2000-11-09	2015-09-27
3C:1A:0F	ClearSky Data	2014-09-21	2015-09-27
08:87:C7	Apple, Inc.	2021-04-17	2021-04-17
00:04:84		2000-12-04	2015-09-27
AC:44:F2	YAMAHA CORPORATION	2010-01-05	2016-01-02
00:0B:4C	Clarion (M) Sdn Bhd	2002-10-14	2015-09-27
00:10:8A	TeraLogic, Inc.	1998-04-22	2015-09-27
00:08:8E	Nihon Computer Co., Ltd.	2001-12-14	2015-09-27
00:06:EB	Global Data	2001-10-24	2015-09-27
71:25:40	Skyworth Digital Technology(Shenzhen) Co.,Ltd	
00:25:AF	COMFILE Technology	2010-01-05	2015-09-27
E8:C7:CF	Wistron Neweb Corporation	2021-12-07	2021-12-07
00:07:7A	Infoware System Co., Ltd.	2001-10-24	2015-09-27
00:03:FD	Cisco Systems, Inc	2000-11-09	2015-09-27
14:A9:D0	F5 Networks, Inc.	2020-07-15	2020-07-15
00:A0:82	NKT ELEKTRONIK A/S	1980-01-01	2015-09-27
00:1C:B5	Neihua Network Technology Co.,LTD.(NHN)	2007-06-16	2015-09-27
24:F6:03	HUAWEI TECHNOLOGIES CO.,LTD	2021-06-03	2021-06-03
01:21:34	ALFA LAVAL AUTOMATION AB	
78:6D:EB	GE Lighting	2019-11-14	2019-11-14
71:19:38	Wuxi Zhanrui Electronic Technology Co.,LTD	
00:0C:5E	Calypso Medical	2003-02-07	2015-09-27
98:F4:AB	Espressif Inc.	2019-06-28	2019-06-28
00:00:45	FORD AEROSPACE & COMM. CORP.	2000-11-09	2015-09-27
08:11:5E	Bitel Co., Ltd.	2014-08-20	2015-09-27
98:DD:60	Apple, Inc.	2021-08-28	2021-08-28
44:1E:A1	Hewlett Packard	2011-07-09	2015-10-12
5C:4A:26	Enguity Technology Corp	2012-07-16	2015-09-27
