78:25:44	2012-04-08	2015-09-27
FC:45:96	2015-09-27	2015-09-27
00:23:44	2008-10-25	2015-09-27
F0:DB:30	2011-05-07	2015-09-27
D8:B1:22	2017-09-10	2017-09-10
00:30:97	2000-11-09	2015-09-27
00:50:DD	2000-11-09	2015-09-27
00:0A:CD	2002-10-14	2015-09-27
5C:35:DA	2010-02-21	2015-09-27
4C:B8:2C	2015-05-03	2015-09-27
9C:50:EE	2016-09-22	2016-09-22
00:0C:3C	2003-02-07	2015-09-27
00:1A:59	2006-11-29	2015-09-27
7C:E0:44	2010-04-11	2015-09-27
48:A9:D2	2015-01-23	2016-04-06
A4:B8:05	2015-07-31	2015-09-27
AA:54:8B	2017-01-30	2017-01-30
58:63:9A	2013-07-12	2015-09-27
B8:9A:CD	2015-01-23	2015-09-27
74:A7:8E	2015-09-27	2015-09-27
00:01:FF	2000-11-09	2015-09-27
00:0E:4B	2004-02-12	2015-09-27
00:19:EA	2006-11-29	2015-09-27
CC:BD:D3	2014-08-28	2015-09-27
00:1C:78	2007-05-13	2015-09-27
10:5F:49	2012-06-14	2015-09-27
3C:DD:89	2015-10-12	2015-10-12
C0:A1:A2	2016-04-01	2016-04-01
00:07:C9	2001-10-24	2015-09-27
00:12:BC	2004-11-16	2015-09-27
00:1F:57	2007-12-31	2015-09-27
F4:03:2F	2014-09-30	2015-09-27
D0:25:98	2015-03-07	2015-09-27
AC:6B:0F	2016-11-16	2016-11-16
48:3E:5E	2021-09-04	2021-09-04
C8:B8:2F	2022-01-08	2022-01-08
28:44:30	2013-09-12	2015-09-27
B0:33:A6	2018-07-26	2018-07-26
88:FC:A6	2021-03-30	2021-03-30
04:0D:84	2021-09-29	2021-09-29
FC:B0:C4	2013-09-12	2015-09-27
4C:91:7A	2019-07-01	2019-07-01
00:60:0A	1980-01-01	2015-09-27
88:C3:6E	2011-10-14	2015-09-27
58:20:B1	2015-05-23	2015-10-12
00:E0:5D	1997-11-14	2015-09-27
90:7A:F1	2013-03-10	2015-10-25
00:26:A3	2010-01-05	2015-09-27
FC:9A:FA	2015-02-19	2015-09-27
78:B2:8D	2017-03-26	2017-03-26
EC:C5:7F	2018-10-01	2018-10-01
FC:8E:5B	2019-10-02	2019-10-02
00:A0:CD	1980-01-01	2015-09-27
00:30:EF	2000-11-09	2015-09-27
00:22:4C	2008-10-25	2015-11-15
00:03:A0	2000-11-09	2015-09-27
C0:92:96	2021-02-03	2021-02-03
F4:F3:09	2021-09-11	2021-09-11
5C:0C:BB	2011-03-17	2015-09-27
00:C0:95	1980-01-01	2016-04-11
60:12:83	2010-02-21	2017-05-23
78:6C:1C	2013-01-09	2017-10-11
90:79:90	2013-07-29	2015-09-27
20:57:AF	2016-04-27	2016-04-27
28:24:FF	2016-04-27	2016-04-27
00:01:D1	2000-11-09	2015-09-27
00:0F:9D	2004-04-03	2015-09-27
00:18:45	2006-06-13	2015-09-27
00:1F:4E	2007-12-31	2015-09-27
0C:96:E6	2018-06-25	2018-06-25
00:04:04	2000-11-09	2015-09-27
00:09:18	2002-06-05	2015-09-27
E0:AE:5E	2011-06-05	2020-10-10
48:0E:EC	2017-07-26	2017-07-26
80:8A:8B	2019-07-01	2019-07-01
EC:9C:32	2019-08-19	2019-08-19
00:00:AA	1980-01-01	2015-09-27
A8:77:6F	2011-11-13	2015-09-27
A0:A3:09	2021-08-28	2021-08-28
00:0C:FB	2003-04-11	2015-09-27
00:0F:04	2004-02-12	2015-09-27
0C:20:26	2014-01-12	2015-09-27
D4:C8:B0	2016-08-05	2016-08-05
C0:8B:05	2021-08-31	2021-08-31
A8:E8:24	2017-06-11	2017-06-11
20:76:8F	2015-12-03	2015-12-03
EC:82:63	2019-07-01	2019-07-01
00:0A:A9	2002-10-14	2015-09-27
00:0F:B6	2004-04-03	2015-09-27
00:12:E0	2004-11-19	2015-09-27
00:1E:5F	2007-10-04	2015-09-27
48:D2:24	2013-06-20	2015-09-27
18:AC:9E	2018-06-25	2018-06-25
AC:8F:F8	2018-12-14	2018-12-14
8C:94:CF	2011-07-09	2015-09-27
BC:02:4A	2016-11-26	2018-12-13
00:D3:18	2017-02-21	2017-02-21
CC:21:19	2018-06-25	2018-06-25
E8:99:C4	2012-04-08	2015-09-27
E4:AA:5D	2015-07-23	2015-09-27
78:B6:EC	2017-12-17	2017-12-17
FC:6B:F0	2018-02-11	2018-02-11
38:E8:EE	2019-08-23	2019-08-23
00:15:C5	2005-09-09	2015-10-25
44:A8:42	2014-11-11	2015-10-25
80:54:6A	2018-08-31	2018-08-31
EC:B9:70	2021-02-03	2021-02-03
00:05:14	2001-02-02	2015-09-27
38:91:FB	2011-03-17	2015-09-27
1C:D6:BD	2016-04-01	2016-04-01
00:CC:3F	2018-02-18	2018-02-18
44:A1:91	2019-05-13	2019-05-13
00:0B:DD	2003-02-07	2015-09-27
00:0D:B5	2003-06-30	2015-09-27
00:18:40	2006-06-13	2015-09-27
00:18:FD	2006-07-14	2015-09-27
00:1F:96	2008-01-14	2015-09-27
04:C5:A4	2011-03-17	2015-09-27
2C:F2:03	2013-03-10	2015-09-27
30:78:6B	2013-05-02	2015-09-27
CC:2D:E0	2017-08-04	2017-08-04
00:10:56	1997-11-14	2015-09-27
00:01:77	2000-11-09	2015-09-27
00:03:E3	2000-11-09	2015-09-27
00:B0:94	2000-11-09	2015-09-27
70:30:5D	2014-02-25	2015-09-27
A4:6D:A4	2020-09-17	2020-09-17
00:01:E7	2000-11-09	2015-10-12
00:50:70	2000-11-09	2015-09-27
34:24:3E	2021-04-03	2021-04-03
94:09:C9	2022-01-20	2022-01-20
70:71:B3	2013-11-12	2015-09-27
7C:E5:24	2014-04-22	2015-09-27
00:06:6F	2001-06-04	2015-09-27
00:17:18	2006-01-27	2015-09-27
00:23:29	2008-10-25	2015-09-27
30:DF:8D	2018-10-04	2018-10-04
A8:F7:66	2020-10-16	2020-10-16
00:09:C6	2002-06-05	2015-09-27
54:65:03	2019-11-22	2019-11-22
24:30:F8	2020-09-08	2020-09-08
0C:AE:7D	2017-12-11	2017-12-11
54:E0:19	2019-03-01	2019-03-01
1C:88:0C	2021-06-03	2021-06-03
00:00:11	2000-11-09	2015-09-27
34:29:EA	2011-05-07	2015-09-27
A0:16:5C	2011-05-07	2015-09-27
20:DC:93	2012-06-18	2015-09-27
38:73:EA	2017-08-20	2017-08-20
60:9E:64	2011-03-17	2015-09-27
D4:22:CD	2020-01-30	2020-01-30
00:0B:51	2002-10-14	2015-09-27
00:23:7F	2008-10-25	2017-05-23
00:26:C7	2010-01-05	2015-09-27
78:67:D7	2017-07-26	2017-07-26
00:08:22	2001-12-14	2015-09-27
90:1A:CA	2013-09-12	2016-05-19
00:17:59	2006-04-08	2015-09-27
6C:4E:86	2017-09-06	2017-09-06
64:0B:D7	2020-04-09	2020-04-09
00:20:94	1980-01-01	2015-09-27
00:20:AE	1980-01-01	2015-09-27
A4:46:6B	2012-06-14	2015-09-27
98:74:3D	2015-11-15	2015-11-15
8C:64:A2	2021-03-13	2021-03-13
00:1B:2F	2007-01-21	2017-05-23
A8:CC:6F	2020-10-20	2020-10-20
00:50:D7	2000-11-09	2015-09-27
00:1B:80	2007-02-20	2015-09-27
00:1C:97	2007-05-13	2015-09-27
70:DD:A1	2010-11-24	2015-09-27
F0:25:72	2010-11-24	2015-09-27
68:4C:A8	2013-01-09	2015-09-27
00:60:ED	1980-01-01	2015-09-27
00:90:21	2000-11-09	2015-09-27
00:D0:DE	2000-11-09	2015-09-27
00:08:B8	2002-06-05	2015-09-27
10:2A:B3	2015-12-03	2016-08-26
00:25:11	2009-02-02	2016-01-31
84:40:76	2016-01-31	2016-01-31
44:4B:5D	2018-04-05	2018-04-05
00:11:EE	2004-07-24	2015-09-27
00:0A:30	2002-06-05	2015-09-27
9C:AF:CA	2010-01-05	2015-09-27
78:8C:4D	2017-05-23	2017-05-23
A4:B1:21	2010-02-21	2015-09-27
54:D0:B4	2015-12-22	2015-12-22
84:C5:A6	2019-09-12	2019-09-12
00:14:F5	2005-06-17	2015-09-27
58:D0:71	2013-01-09	2015-09-27
A4:E9:91	2013-01-16	2015-09-27
54:6D:52	2015-12-03	2015-12-03
EC:30:B3	2022-02-11	2022-02-11
00:17:DB	2006-04-08	2015-09-27
68:63:59	2010-11-24	2015-09-27
70:69:5A	2017-12-11	2017-12-11
A4:45:19	2019-06-13	2019-06-13
BC:42:8C	2019-12-19	2020-10-10
14:75:5B	2021-12-30	2021-12-30
00:03:F7	2000-11-09	2015-09-27
08:00:86	2000-11-09	2015-09-27
7C:B5:42	2010-07-01	2015-09-27
E4:FD:A1	2019-04-05	2019-04-05
90:EE:C7	2020-03-05	2020-03-05
90:23:5B	2022-03-08	2022-03-08
00:19:F3	2006-11-29	2015-09-27
00:1B:D6	2007-04-09	2015-09-27
00:1D:1F	2007-08-18	2015-09-27
AC:40:EA	2012-04-08	2015-09-27
00:95:69	2013-01-09	2015-09-27
D8:9A:34	2015-03-07	2015-09-27
00:05:FC	2001-06-04	2015-09-27
00:23:25	2008-10-25	2015-09-27
84:0B:2D	2012-07-28	2015-09-27
0C:EA:C9	2017-08-20	2017-08-20
E8:FA:F7	2018-01-25	2018-01-25
94:AE:F0	2020-05-05	2020-05-05
94:B2:CC	2015-09-27	2015-09-27
58:A4:8E	2018-03-13	2018-03-13
38:F3:AB	2021-01-15	2021-01-15
30:89:4A	2022-01-19	2022-01-19
3C:81:D8	2012-05-01	2015-10-07
E8:3A:12	2015-07-23	2015-09-27
00:26:EB	2010-01-05	2015-09-27
58:4C:EE	2010-01-05	2015-09-27
50:F5:20	2013-01-09	2015-09-27
24:5B:F0	2015-05-03	2015-09-27
48:A4:93	2018-08-24	2018-08-24
68:8B:0F	2018-11-16	2018-11-16
54:09:10	2020-11-25	2020-11-25
00:02:AA	2000-11-09	2015-09-27
00:11:FC	2004-08-04	2016-03-01
00:13:62	2005-01-23	2015-09-27
00:24:49	2008-12-03	2015-09-27
00:0B:D4	2003-02-07	2015-09-27
00:23:06	2008-10-25	2020-10-10
38:A2:8C	2016-04-01	2016-04-01
A8:89:40	2021-05-12	2021-05-12
00:01:9E	2000-11-09	2015-09-27
00:1F:66	2007-12-31	2015-09-27
F8:AD:CB	2019-04-05	2019-04-05
00:A0:01	1980-01-01	2015-09-27
00:05:CC	2001-06-04	2015-09-27
00:14:05	2005-03-22	2015-09-27
00:17:FD	2006-04-15	2015-09-27
78:32:4F	2013-01-09	2015-09-27
5C:AA:FD	2014-07-13	2017-12-10
A8:53:7D	2021-12-16	2021-12-16
00:02:39	2000-11-09	2015-09-27
00:0E:4E	2004-02-12	2015-09-27
00:1A:50	2006-11-29	2015-09-27
28:83:35	2015-12-22	2015-12-22
00:0A:EA	2002-10-14	2015-09-27
00:0D:E0	2004-02-12	2015-09-27
00:1D:67	2007-08-18	2015-09-27
AC:89:95	2015-07-23	2015-09-27
60:A1:1E	2019-07-01	2019-07-01
00:03:0F	2000-11-09	2015-09-27
00:0B:03	2002-10-14	2015-09-27
00:13:57	2005-01-23	2015-09-27
FC:AF:BE	2021-09-09	2021-09-09
00:14:5A	2005-04-14	2020-10-07
00:1B:FC	2007-04-09	2015-09-27
84:F1:29	2015-01-23	2015-09-27
E8:11:CA	2016-04-01	2016-04-01
EC:AF:97	2018-01-25	2018-01-25
00:11:26	2004-06-05	2015-09-27
00:1B:B5	2007-04-09	2016-10-30
68:53:88	2016-04-27	2016-04-27
3C:BD:C5	2020-09-16	2020-09-16
00:0F:7E	2004-02-12	2015-09-27
00:26:88	2010-01-05	2016-02-10
00:FC:58	2011-08-18	2015-09-27
14:95:CE	2019-04-29	2019-04-29
00:30:1F	2000-11-09	2015-09-27
44:D8:32	2011-05-07	2015-11-15
00:40:2A	1980-01-01	2015-11-15
00:30:17	2000-11-09	2015-09-27
00:1F:00	2007-12-31	2015-09-27
8C:33:57	2014-04-22	2015-09-27
D8:66:EE	2014-04-22	2015-09-27
B0:E0:3C	2014-11-11	2016-03-01
00:00:79	1980-01-01	2015-09-27
00:E0:3B	1980-01-01	2015-09-27
00:40:3A	2000-11-09	2015-09-27
00:0C:F8	2003-04-11	2016-04-27
00:19:2A	2006-08-15	2015-09-27
B0:AC:FA	2013-01-09	2018-09-27
94:E0:D6	2018-09-07	2018-09-07
00:05:EB	2001-06-04	2015-09-27
00:1E:DA	2007-12-31	2015-09-27
58:4C:19	2011-03-17	2015-09-27
3C:9F:81	2012-01-18	2015-09-27
88:94:7E	2015-08-11	2015-09-27
00:60:95	1980-01-01	2015-09-27
54:D1:B0	2012-04-08	2015-09-27
64:7C:34	2012-05-26	2019-12-17
50:BD:5F	2014-05-27	2015-09-27
FC:AB:90	2019-01-19	2019-01-19
00:30:F3	2000-11-09	2015-09-27
00:23:88	2008-10-25	2015-09-27
18:89:A0	2018-06-25	2018-06-25
B4:54:59	2019-03-26	2019-03-26
E8:1B:4B	2019-10-02	2019-10-02
00:30:0A	2000-11-09	2019-07-01
00:22:1D	2008-10-25	2015-09-27
50:3A:A0	2016-07-14	2016-07-14
74:46:87	2021-11-30	2021-11-30
00:03:A5	2000-11-09	2015-09-27
00:04:61	2000-12-04	2015-09-27
00:1D:F0	2007-09-29	2015-09-27
00:1E:DC	2007-12-31	2021-04-14
54:72:4F	2013-12-13	2015-09-27
00:03:D5	2000-11-09	2015-09-27
00:01:01	2001-10-24	2001-12-14
00:0B:4B	2002-10-14	2015-09-27
00:0F:3D	2004-02-12	2015-09-27
58:8B:F3	2015-07-23	2016-04-01
